poll_id,debate_date,date,candidate,democratdum,republicandum,year,sample1,high_sample1,change_democrats,change_republicans,d_republicans,pre_democrats,pre_republicans,Immigration,ForeignPolicy,AbortionRights,aggressive,inflammatory,discriminatory,aggressive_d,aggressive_r,inflammatory_d,inflammatory_r,discriminatory_d,discriminatory_r
520.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,831.0,0.0,0.0,0.0,1.2222214,50.0,45.0,1,0,0,120,42,4,54,66,24,18,0,4
520.0,2008-10-07,2008-10-07,MCCAIN,0.0,1.0,2008.0,831.0,0.0,0.0,0.0,1.2222214,50.0,45.0,1,1,1,98,30,6,48,50,12,18,2,4
520.0,2008-10-07,2008-10-07,OBAMA,1.0,0.0,2008.0,831.0,0.0,0.0,0.0,1.2222214,50.0,45.0,1,1,1,98,30,6,48,50,12,18,2,4
520.0,2008-10-15,2008-10-15,MCCAIN,0.0,1.0,2008.0,831.0,0.0,0.0,0.0,1.2222214,50.0,45.0,1,0,0,120,42,4,54,66,24,18,0,4
521.0,2008-10-15,2008-10-15,MCCAIN,0.0,1.0,2008.0,543.0,0.0,0.0,-2.0,-2.25,50.0,45.0,1,0,0,120,42,4,54,66,24,18,0,4
523.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,924.0,0.0,4.0,1.0,0.0,43.0,43.0,1,0,0,120,42,4,54,66,24,18,0,4
524.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,1005.0,1.0,5.0,-3.0,0.0,47.0,44.0,1,0,0,120,42,4,54,66,24,18,0,4
525.0,2008-10-15,2008-10-15,MCCAIN,0.0,1.0,2008.0,2587.0,1.0,0.0,5.0,1.75,52.0,41.0,1,0,0,120,42,4,54,66,24,18,0,4
526.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,2503.0,1.0,-1.0,-3.0,0.0,52.0,46.0,1,0,0,120,42,4,54,66,24,18,0,4
527.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,714.0,0.0,2.0,3.0,0.0,51.0,43.0,1,0,0,120,42,4,54,66,24,18,0,4
528.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,2475.0,1.0,-1.0,-3.0,0.0,53.0,46.0,1,0,0,120,42,4,54,66,24,18,0,4
529.0,2008-10-15,2008-10-15,MCCAIN,0.0,1.0,2008.0,2470.0,1.0,1.0,1.0,-0.625,52.0,43.0,1,0,0,120,42,4,54,66,24,18,0,4
530.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,1011.0,1.0,-2.0,-1.0,0.0,53.0,44.0,1,0,0,120,42,4,54,66,24,18,0,4
531.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,800.0,0.0,-1.0,1.0,0.0,51.0,43.0,1,0,0,120,42,4,54,66,24,18,0,4
532.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,2472.0,1.0,5.0,0.0,0.0,50.0,44.0,1,0,0,120,42,4,54,66,24,18,0,4
533.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,760.0,0.0,-2.0,2.0,0.0,55.0,44.0,1,0,0,120,42,4,54,66,24,18,0,4
534.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,714.0,0.0,-2.0,-4.0,0.0,53.0,46.0,1,0,0,120,42,4,54,66,24,18,0,4
535.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,971.0,0.0,-1.0,1.0,0.0,51.0,42.0,1,0,0,120,42,4,54,66,24,18,0,4
536.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,887.0,0.0,0.0,2.0,0.0,50.0,43.0,1,0,0,120,42,4,54,66,24,18,0,4
537.0,2008-10-15,2008-10-15,MCCAIN,0.0,1.0,2008.0,3000.0,1.0,2.0,1.0,1.1964302,50.0,45.0,1,0,0,120,42,4,54,66,24,18,0,4
538.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,800.0,0.0,0.0,1.0,0.0,52.0,46.0,1,0,0,120,42,4,54,66,24,18,0,4
539.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,804.0,0.0,0.0,-4.0,0.0,52.0,47.0,1,0,0,120,42,4,54,66,24,18,0,4
540.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,800.0,0.0,-2.0,5.0,0.0,52.0,43.0,1,0,0,120,42,4,54,66,24,18,0,4
541.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,1201.0,1.0,4.0,-5.0,0.0,50.0,48.0,1,0,0,120,42,4,54,66,24,18,0,4
543.0,2008-10-15,2008-10-15,OBAMA,1.0,0.0,2008.0,981.0,0.0,-0.099998474,-0.5,0.0,52.1,44.5,1,0,0,120,42,4,54,66,24,18,0,4
797.0,2012-10-03,2012-10-03,OBAMA,1.0,0.0,2012.0,3050.0,1.0,3.0,-3.0,-2.0,46.0,48.0,1,1,0,126,14,8,62,64,12,2,6,2
798.0,2012-10-03,2012-10-03,ROMNEY,0.0,1.0,2012.0,1500.0,1.0,0.0,2.0,0.0,49.0,45.0,1,1,0,126,14,8,62,64,12,2,6,2
