date,speaker,party,sentence
2020-10-22,BIDEN,Dem,You tell the people it’s dangerous now?
2020-10-22,BIDEN,Dem,What should they do about the danger?
2020-10-22,BIDEN,Dem,"And you say, I take no responsibility."
2020-10-22,TRUMP,Rep,I take full responsibility.
2020-10-22,TRUMP,Rep,It’s not my fault that it came here.
2020-10-22,TRUMP,Rep,It’s China’s fault.
2020-10-22,TRUMP,Rep,"And you know what, it’s not Joe’s fault that it came here either."
2020-10-22,TRUMP,Rep,It’s China’s fault.
2020-10-22,TRUMP,Rep,"They kept it from going into the rest of China, for the most part, but they didn’t keep it from coming out to the world including Europe and ourselves."
2020-10-22,BIDEN,Dem,"The fact is, that when we knew it was coming, when it hit — what happened?"
2020-10-22,BIDEN,Dem,What did the President say?
2020-10-22,BIDEN,Dem,"He said don’t worry, it’s going to go away, be gone by Easter."
2020-10-22,BIDEN,Dem,"Don’t worry, the warm weather."
2020-10-22,BIDEN,Dem,"Don’t worry, maybe inject bleach — he said he was kidding when he said that, but a lot of people thought it was serious."
2020-10-22,BIDEN,Dem,A whole range of things the President said.
2020-10-22,BIDEN,Dem,"And even today, he thinks we are in control."
2020-10-22,BIDEN,Dem,"We’re about to lose 200,000 more people."
2020-10-22,TRUMP,Rep,"Look, perhaps just to finish this, I was kidding on that but just to finish this."
2020-10-22,TRUMP,Rep,"When I closed, he said, I shouldn’t have closed."
2020-10-22,TRUMP,Rep,And that went on for months.
2020-10-22,TRUMP,Rep,What Nancy Pelosi said the same thing.
2020-10-22,TRUMP,Rep,She was dancing on the streets in Chinatown in San Francisco.
2020-10-22,TRUMP,Rep,"But when I closed, he said, this is a terrible thing."
2020-10-22,TRUMP,Rep,You’re xenophobic.
2020-10-22,TRUMP,Rep,"I think he called me racist, even, and because I was closing it to China."
2020-10-22,TRUMP,Rep,Now he says I should have closed it earlier.
2020-10-22,TRUMP,Rep,"It just, Joe, it doesn’t work."
2020-10-22,BIDEN,Dem,I didn’t say either of those things.
2020-10-22,TRUMP,Rep,You certainly did.
2020-10-22,BIDEN,Dem,I talked about his xenophobia in a different context.
2020-10-22,BIDEN,Dem,It wasn’t about closing the border to Chinese coming to the United States.
2020-10-22,TRUMP,Rep,He thought I shouldn’t have closed the border.
2020-10-22,TRUMP,Rep,That’s obvious.
2020-10-22,BIDEN,Dem,"What I would say is I’m going to shut down the virus, not the country."
2020-10-22,BIDEN,Dem,"It’s his ineptitude that caused the country to have to shut down in large part — why businesses have gone under, why schools are closed, why so many people have lost their living and why they’re concerned."
2020-10-22,BIDEN,Dem,Those other concerns are real.
2020-10-22,BIDEN,Dem,That’s why he should have been — instead of in a sand trap at his golf course — he should have been negotiating with Nancy Pelosi and the rest of the Democrats and Republicans about what to do about the acts they were passing for billions of dollars to make sure people had the capacity.
2020-10-22,BIDEN,Dem,"Oh no, I’m not shutting down the nation but there are, look, they need standards."
2020-10-22,BIDEN,Dem,"The standard is, if you have a reproduction rate in a community that’s above a certain level, everybody says, slow up."
2020-10-22,BIDEN,Dem,More social distancing.
2020-10-22,BIDEN,Dem,Do not open bars and do not open gymnasiums.
2020-10-22,BIDEN,Dem,"Do not open until you get this under control, under more control."
2020-10-22,BIDEN,Dem,"But when you do open, give the people the capacity to be able to open and have the capacity to do it safely."
2020-10-22,BIDEN,Dem,"For example schools — schools, they need a lot of money to open."
